"FullDomainName","IPAddress","Make","Model","ClientVersion","OSDescription","LastSyncTime","LastReportedStatusTime"
"pcakkf1012.alkaloidad.local","10.10.40.26","Dell Inc.","Latitude E5550","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 02:24:04","05.3.2025 02:27:47"
"pcakkf1054.alkaloidad.local","10.10.42.45","Dell Inc.","Latitude 5590","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 06:41:30","05.3.2025 06:51:36"
"pc000117.alkaloidad.local","10.10.42.46","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 07:02:30","05.3.2025 07:11:22"
"pcakkf1051.alkaloidad.local","10.10.41.124","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:10:52","05.3.2025 06:14:13"
"pc000611.alkaloidad.local","10.10.40.131","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 10:32:58","13.12.2024 09:56:24"
"pc000977.alkaloidad.local","10.10.40.129","Dell Inc.","Latitude E5570","10.0.19041.5198","Windows 10 Enterprise","11.2.2025 06:28:48","11.2.2025 06:58:56"
"pcakkf3075.alkaloidad.local","10.15.55.10","Dell Inc.","Latitude 7280","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:46:21","04.3.2025 15:48:08"
"pcainst1054.alkaloidad.local","10.10.41.238","Dell Inc.","Latitude E5570","10.0.17763.1852","Windows 10 Enterprise","06.2.2025 07:31:02","06.2.2025 07:43:34"
"pc001226.alkaloidad.local","10.10.40.246","Dell Inc.","Latitude E5550","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:42:32","21.9.2023 04:54:21"
"pcakkf2013.alkaloidad.local","10.10.40.88","Dell Inc.","Latitude E5550","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 06:19:15","05.3.2025 06:31:08"
"pcakkf0009.alkaloidad.local","10.10.10.35","Dell Inc.","OptiPlex 7020","10.0.19041.5198","Windows 10 Enterprise","04.3.2025 07:09:50","03.3.2025 12:51:41"
"pcakkf1019.alkaloidad.local","10.10.40.23","Dell Inc.","Latitude E5570","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 08:31:50","05.3.2025 08:41:13"
"pc001261.alkaloidad.local","10.10.40.154","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","28.2.2025 13:01:51","28.2.2025 13:10:39"
"pc000497.alkaloidad.local","10.10.40.55","Dell Inc.","Latitude 5590","10.0.19041.4717","Windows 10 Enterprise","04.3.2025 08:47:43","27.2.2025 13:02:06"
"pcakkf3036.alkaloidad.local","10.10.42.48","Dell Inc.","Latitude E5550","10.0.17763.1852","Windows 10 Enterprise","04.3.2025 22:21:07","04.3.2025 23:00:22"
"pc000074.alkaloidad.local","10.10.40.212","Dell Inc.","Latitude 5590","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 11:09:06","28.2.2025 13:17:24"
"pcainst1079.alkaloidad.local","10.10.41.128","Dell Inc.","Latitude 5590","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 07:17:11","05.3.2025 07:43:57"
"pcakkf3053.alkaloidad.local","10.10.40.64","Dell Inc.","Latitude 5590","1309.2412.6022.0","Windows 10 Enterprise","05.3.2025 06:27:15","05.3.2025 06:30:44"
"pcainst1062.alkaloidad.local","10.10.41.243","Dell Inc.","Latitude 5580","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 07:28:11","20.2.2024 07:27:25"
"pcakkf0002.alkaloidad.local","10.10.42.86","Dell Inc.","Latitude E5550","1309.2412.6022.0","Windows 10 Enterprise","05.3.2025 07:18:22","05.3.2025 07:20:28"
"pcainst0041.alkaloidad.local","10.10.40.129","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:30:19","05.3.2025 06:35:59"
"pcait0282.alkaloidad.local","10.30.0.48","Dell Inc.","OptiPlex 5040","10.0.19041.4717","Windows 10 Enterprise","05.3.2025 05:10:03","05.3.2025 05:28:16"
"pcampmpp1012.alkaloidad.local","10.10.41.24","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 10:12:55","05.3.2025 10:14:49"
"pc001108.alkaloidad.local","10.10.55.12","Dell Inc.","Latitude 7280","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 02:17:31","05.3.2025 02:22:29"
"pcainst1081.alkaloidad.local","10.10.41.192","Dell Inc.","Latitude E5540","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 10:20:12","05.3.2025 10:28:59"
"pcakkf1039.alkaloidad.local","10.10.41.204","Dell Inc.","Latitude 5580","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 05:50:41","25.2.2025 12:43:15"
"pcakkf1013.alkaloidad.local","10.10.40.14","Dell Inc.","Latitude E5550","10.0.19041.4717","Windows 10 Enterprise","05.3.2025 03:00:11","01.8.2023 05:01:39"
"pcampmpp1007.alkaloidad.local","10.10.16.54","Dell Inc.","Latitude 7490","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 07:22:57","05.3.2025 07:23:40"
"pcakkf0010.alkaloidad.local","10.10.41.228","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","04.3.2025 07:32:06","04.3.2025 07:35:41"
"pcainst0023.alkaloidad.local","10.10.42.107","Dell Inc.","OptiPlex 5040","10.0.19041.5438","Windows 10 Enterprise","27.2.2025 06:47:54","26.2.2025 17:09:23"
"pc000057.alkaloidad.local","10.10.41.83","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 07:00:01","05.3.2025 01:36:10"
"pc000150.alkaloidad.local","10.10.42.22","Dell Inc.","Latitude E5550","10.0.19041.5438","Windows 10 Enterprise","04.3.2025 18:13:27","04.3.2025 18:13:29"
"pc001322.alkaloidad.local","10.30.10.44","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:33:00","05.3.2025 06:36:17"
"pc001208.alkaloidad.local","10.10.41.140","Dell Inc.","Latitude E5570","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 06:48:23","04.3.2025 07:12:45"
"pcakkf1052.alkaloidad.local","10.10.40.62","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:06:44","04.3.2025 12:41:37"
"pcainst1075.alkaloidad.local","10.10.40.6","Dell Inc.","Latitude 5590","1309.2409.26012.0","Windows 10 Enterprise","05.3.2025 07:00:02","05.3.2025 03:12:41"
"pcakkf2049.alkaloidad.local","10.10.40.21","Dell Inc.","Latitude 5580","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 06:04:29","05.3.2025 06:21:16"
"pc000113.alkaloidad.local","10.10.41.70","Dell Inc.","Latitude 7480","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:57:38","05.3.2025 07:06:36"
"pcauz2032.alkaloidad.local","10.10.42.68","Dell Inc.","Latitude E5550","10.0.17763.1852","Windows 10 Enterprise","04.3.2025 06:36:15","21.2.2025 07:11:20"
"pc000206.alkaloidad.local","10.10.140.14","Dell Inc.","Precision Tower 3620","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:30:51","05.3.2025 06:39:41"
"pc000125.alkaloidad.local","10.15.55.11","Dell Inc.","Latitude 5580","10.0.19041.5198","Windows 10 Enterprise","13.2.2025 07:43:02","13.2.2025 07:51:51"
"pcauz5053.alkaloidad.local","10.10.6.31","Dell Inc.","Latitude 7280","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 07:10:03","05.3.2025 07:21:01"
"pcauz3087.alkaloidad.local","10.30.17.148","Dell Inc.","Latitude 5580","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 09:20:52","05.3.2025 09:29:40"
"pcauz6150.alkaloidad.local","10.30.4.31","Dell Inc.","Latitude 5590","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 07:27:59","05.3.2025 07:31:11"
"pc000603.alkaloidad.local","10.30.4.56","Dell Inc.","Latitude 5590","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 06:57:48","05.3.2025 06:57:58"
"pcauz5072.alkaloidad.local","10.10.42.7","Dell Inc.","Latitude 7400","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 09:06:02","05.3.2025 09:16:16"
"pcauz1098.alkaloidad.local","10.10.1.207","Dell Inc.","OptiPlex 7010","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:10:29","05.3.2025 06:12:55"
"pcauz5058.alkaloidad.local","10.10.40.76","Dell Inc.","OptiPlex 5060","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:13:08","05.3.2025 06:16:37"
"pcauz5067.alkaloidad.local","10.10.6.50","Dell Inc.","OptiPlex 5060","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:24:24","05.3.2025 06:26:34"
"pcauz6147.alkaloidad.local","10.30.4.8","Dell Inc.","Latitude 5590","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 01:54:21","05.3.2025 01:57:35"
"pc000076.alkaloidad.local","10.10.1.68","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:33:41","05.3.2025 06:33:53"
"pc001081.alkaloidad.local","10.30.17.171","Dell Inc.","OptiPlex 7010","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 07:14:22","05.3.2025 07:25:14"
"pcauz6139.alkaloidad.local","10.30.4.33","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:35:11","05.3.2025 06:38:38"
"pc000067.alkaloidad.local","10.10.1.67","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:33:03","05.3.2025 06:33:14"
"pcauz4091.alkaloidad.local","10.10.16.69","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:32:42","05.3.2025 06:33:02"
"pc001166.alkaloidad.local","10.10.64.61","Dell Inc.","OptiPlex 5060","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:12:56","05.3.2025 06:16:07"
"pcauz1025.alkaloidad.local","10.10.41.1","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:29:42","05.3.2025 06:31:53"
"pcauz4096.alkaloidad.local","10.10.41.210","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 01:52:28","05.3.2025 01:55:56"
"pcauz12004.alkaloidad.local","10.10.40.144","Dell Inc.","Latitude 5490","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:29:27","05.3.2025 06:33:26"
"pc001180.alkaloidad.local","10.10.6.112","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:47:50","05.3.2025 06:56:40"
"pcauz2113.alkaloidad.local","10.10.40.249","Dell Inc.","Latitude 5490","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 06:40:12","22.2.2024 06:30:15"
"pcauz0039.alkaloidad.local","10.10.55.11","Dell Inc.","Latitude 5580","10.0.16299.2166","Windows 10 Enterprise","05.3.2025 08:37:55","05.3.2025 08:47:19"
"pc000092.alkaloidad.local","10.10.6.20","Dell Inc.","OptiPlex 5060","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 06:19:12","05.3.2025 06:20:55"
"pcauz6034.alkaloidad.local","10.30.4.60","Dell Inc.","Latitude 7490","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:29:30","05.3.2025 06:38:20"
"pc000060.alkaloidad.local","10.30.4.27","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:26:43","05.3.2025 06:35:35"
"pcauz5069.alkaloidad.local","10.10.42.11","Dell Inc.","OptiPlex 5060","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 06:36:48","05.3.2025 06:45:42"
"pcauz6088.alkaloidad.local","10.30.4.70","Dell Inc.","OptiPlex 5040","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 06:23:46","27.8.2024 05:58:08"
"pcauz6118.alkaloidad.local","10.30.4.20","Dell Inc.","Latitude 5580","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 07:16:30","05.3.2025 07:28:59"
"pcanf2107.alkaloidad.local","10.10.41.65","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 01:56:24","05.3.2025 02:04:33"
"pcauz5057.alkaloidad.local","10.10.6.94","Dell Inc.","OptiPlex 5060","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:36:47","05.3.2025 06:39:32"
"pc000633.alkaloidad.local","10.10.40.239","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:51:47","05.3.2025 07:00:37"
"pcauz6144.alkaloidad.local","10.30.4.40","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:33:05","05.3.2025 06:37:14"
"pcauz3076.alkaloidad.local","10.30.17.141","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 08:49:16","05.3.2025 08:54:22"
"pcauz6107.alkaloidad.local","10.30.4.71","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 02:32:21","05.3.2025 02:40:30"
"pcauz5056.alkaloidad.local","10.10.6.51","Dell Inc.","OptiPlex 5060","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:44:36","05.3.2025 07:05:27"
"pc001262.alkaloidad.local","10.10.41.117","Dell Inc.","Latitude E5570","10.0.19041.5438","Windows 10 Enterprise","04.3.2025 06:33:47","04.3.2025 06:45:33"
"pc001079.alkaloidad.local","10.10.1.83","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:33:14","05.3.2025 06:35:38"
"pc001265.alkaloidad.local","10.10.41.200","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:38:33","05.3.2025 06:47:24"
"pcait0123.alkaloidad.local","10.10.64.31","Dell Inc.","Latitude 5510","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:03:13","05.3.2025 06:12:04"
"pc000082.alkaloidad.local","10.10.6.25","Dell Inc.","Latitude 5500","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:33:38","05.3.2025 02:20:38"
"pcauz2114.alkaloidad.local","10.15.55.10","Dell Inc.","Latitude 7290","10.0.19041.5438","Windows 10 Enterprise","04.3.2025 17:21:27","04.3.2025 17:23:25"
"pc000877.alkaloidad.local","10.30.17.131","Dell Inc.","OptiPlex 5060","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:28:38","05.3.2025 06:35:26"
"pcauz6127.alkaloidad.local","10.30.4.14","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:30:32","05.3.2025 06:33:17"
"pcauz6154.alkaloidad.local","10.10.16.26","Dell Inc.","Latitude 5590","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 08:32:41","05.3.2025 08:42:07"
"pc000083.alkaloidad.local","10.10.6.21","Dell Inc.","Latitude 5590","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 06:32:56","05.3.2025 06:33:05"
"pc000021.alkaloidad.local","10.10.41.122","Dell Inc.","Latitude 5590","10.0.19041.4717","Windows 10 Enterprise","05.3.2025 11:08:32","05.3.2025 05:36:56"
"pcauz14015.alkaloidad.local","10.10.42.32","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 03:22:10","05.3.2025 03:26:03"
"pc001324.alkaloidad.local","10.10.1.81","Dell Inc.","OptiPlex 5040","10.0.19041.2193","Windows 10 Enterprise","04.3.2025 05:57:58","04.3.2025 06:06:57"
"pcakkf3037.alkaloidad.local","10.10.10.23","Dell Inc.","OptiPlex 790","10.0.19041.5198","Windows 10 Enterprise","18.2.2025 13:10:43","14.2.2025 19:21:39"
"pc000459.alkaloidad.local","10.30.17.146","Dell Inc.","Latitude 5580","10.0.19041.4717","Windows 10 Enterprise","05.3.2025 06:52:40","23.1.2025 07:50:50"
"pcanf0074.alkaloidad.local","10.10.15.2","Dell Inc.","OptiPlex 5050","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:49:50","05.3.2025 02:43:48"
"pcanf1019.alkaloidad.local","10.10.42.168","Dell Inc.","OptiPlex 5040","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 11:02:05","05.3.2025 11:10:44"
"pcanf0066.alkaloidad.local","10.10.17.2","Dell Inc.","OptiPlex 5040","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 01:15:51","05.3.2025 01:23:57"
"pcanf0049.alkaloidad.local","10.10.17.3","Dell Inc.","OptiPlex 790","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 02:25:12","05.3.2025 02:27:29"
"pcanf0064.alkaloidad.local","10.10.12.59","Dell Inc.","OptiPlex 5040","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 10:57:58","05.3.2025 10:59:49"
"pcanf0061.alkaloidad.local","10.10.12.94","Dell Inc.","OptiPlex 5040","10.0.17763.1852","Windows 10 Enterprise","04.3.2025 23:07:38","04.3.2025 23:16:32"
"pcanf0037.alkaloidad.local","10.10.12.30","Dell Inc.","Precision WorkStation T3500  ","7.6.7601.24542","Windows 7 Professional","05.3.2025 05:25:35","05.3.2025 05:28:43"
"pc000615.alkaloidad.local","10.10.41.95","Dell Inc.","Latitude E5570","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:41:56","05.3.2025 06:45:00"
"pcanf1029.alkaloidad.local","10.10.12.55","Dell Inc.","OptiPlex 5060","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 02:28:12","05.3.2025 02:38:03"
"pcanf0073.alkaloidad.local","10.10.15.1","Dell Inc.","OptiPlex 5050","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 02:34:18","05.3.2025 02:38:36"
"pcanf0071.alkaloidad.local","10.10.12.28","Dell Inc.","OptiPlex 5050","10.0.19041.5438","Windows 10 Enterprise","03.3.2025 10:26:43","03.3.2025 10:26:45"
"pcanf0084.alkaloidad.local","10.10.12.23","Dell Inc.","OptiPlex 5060","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 01:54:25","05.3.2025 01:56:56"
"pcasin0004.alkaloidad.local","10.10.41.203","Dell Inc.","OptiPlex 7020","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 09:46:25","05.3.2025 09:54:47"
"pcanf0089.alkaloidad.local","10.10.12.40","Dell Inc.","OptiPlex 5060","10.0.17763.1852","Windows 10 Enterprise","03.3.2025 05:40:02","29.7.2024 04:55:34"
"pcanf0091.alkaloidad.local","10.10.12.44","Dell Inc.","OptiPlex 5060","10.0.19041.5438","Windows 10 Enterprise","01.3.2025 07:31:02","27.5.2024 08:32:37"
"pcanf0090.alkaloidad.local","10.10.12.32","Dell Inc.","OptiPlex 5060","10.0.17763.1852","Windows 10 Enterprise","04.3.2025 12:52:35","21.5.2024 18:27:19"
"pc001211.alkaloidad.local","10.10.15.6","Dell Inc.","OptiPlex 5050","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 10:49:59","05.3.2025 10:58:37"
"pc000224.alkaloidad.local","10.10.40.56","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:15:04","05.3.2025 06:18:49"
"pcanf0085.alkaloidad.local","10.10.12.91","Dell Inc.","OptiPlex 5060","10.0.17763.1554","Windows 10 Pro","05.3.2025 08:07:11","19.12.2024 04:22:21"
"pc001279.alkaloidad.local","10.10.12.88","Dell Inc.","Latitude 5590","10.0.19041.5198","Windows 10 Enterprise","05.3.2025 04:03:44","05.3.2025 04:08:24"
"pc000983.alkaloidad.local","10.10.42.16","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","04.3.2025 13:32:26","04.3.2025 13:40:33"
"pcappz2021.alkaloidad.local","10.10.1.29","Dell Inc.","Latitude 5500","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 07:00:10","04.3.2025 06:45:27"
"pc000612.alkaloidad.local","10.10.41.127","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:48:48","05.3.2025 06:57:40"
"pc001027.alkaloidad.local","10.10.40.162","Dell Inc.","Latitude 5500","1309.2412.6022.0","Windows 10 Enterprise","05.3.2025 06:41:24","05.3.2025 06:51:48"
"pcappz2024.alkaloidad.local","10.10.55.12","Dell Inc.","Latitude 5500","10.0.19041.5198","Windows 10 Enterprise","03.3.2025 19:20:08","03.3.2025 19:22:01"
"pcappz2022.alkaloidad.local","10.10.16.78","Dell Inc.","Latitude 5500","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:03:47","05.3.2025 06:13:25"
"pcappz1022.alkaloidad.local","10.10.16.8","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 07:00:01","05.3.2025 01:31:15"
"pcanf0039.alkaloidad.local","10.10.55.12","Dell Inc.","Latitude 5590","10.0.17134.2087","Windows 10 Enterprise","03.3.2025 20:16:14","03.3.2025 20:36:35"
"pcakkf1055.alkaloidad.local","10.10.41.184","Dell Inc.","Latitude 5590","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 06:12:35","05.3.2025 06:21:40"
"pc001194.alkaloidad.local","10.10.40.3","Dell Inc.","Latitude E5570","10.0.19041.4717","Windows 10 Enterprise","05.3.2025 01:19:21","05.3.2025 01:21:15"
"pc000966.alkaloidad.local","10.10.41.161","Dell Inc.","Latitude 5490","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 09:33:37","05.3.2025 01:55:23"
"pcams0010.alkaloidad.local","10.10.13.11","Dell Inc.","OptiPlex 7020","7.6.7601.23806","Windows 7 Professional","05.3.2025 09:18:20","05.3.2025 09:23:41"
"pcakkf3064.alkaloidad.local","10.10.113.8","Dell Inc.","Precision T3600","10.0.19041.4239","Windows 10 Enterprise","05.3.2025 06:12:06","05.3.2025 06:22:10"
"pcakkf3057.alkaloidad.local","10.10.113.10","Dell Inc.","Precision T3600","10.0.17763.771","Windows 10 Enterprise","05.3.2025 05:40:53","05.3.2025 05:50:56"
"pcpmag0001.alkaloidad.local","10.30.6.102","Dell Inc.","OptiPlex 790","10.0.19041.4239","Windows 10 Enterprise","05.3.2025 07:15:12","05.3.2025 07:18:04"
"pcpmag0004.alkaloidad.local","10.30.6.9","Dell Inc.","OptiPlex 7010","10.0.18362.1171","Windows 10 Enterprise","05.3.2025 11:04:19","04.3.2025 17:18:58"
"pcams0011.alkaloidad.local","10.10.16.32","Dell Inc.","OptiPlex 790","10.0.19041.4717","Windows 10 Enterprise","05.3.2025 01:43:24","05.3.2025 01:47:05"
"pc001274.alkaloidad.local","10.10.41.25","Dell Inc.","Latitude 5590","10.0.19041.5438","Windows 10 Enterprise","04.3.2025 14:15:09","04.3.2025 14:22:27"
"pcappz2029.alkaloidad.local","10.10.55.11","Dell Inc.","Latitude E5570","10.0.19041.4123","Windows 10 Enterprise","13.2.2025 16:33:14","13.2.2025 16:49:04"
"pc000136.alkaloidad.local","10.10.40.252","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:40:51","05.3.2025 06:50:27"
"pcpmag0005.alkaloidad.local","10.30.6.8","Dell Inc.","OptiPlex 7010","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 02:09:28","05.3.2025 02:18:11"
"pc000661.alkaloidad.local","10.30.17.152","Dell Inc.","Latitude 5580","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 06:42:26","05.3.2025 06:51:18"
"pcbkas0003.alkaloidad.local","10.30.0.33","Dell Inc.","OptiPlex 780                 ","7.6.7601.24542","Windows 7 Professional","05.3.2025 06:26:23","05.3.2025 06:42:08"
"pcbpro0003.alkaloidad.local","10.30.0.45","Dell Inc.","OptiPlex 7010","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 08:02:41","05.3.2025 08:11:25"
"pc001181.alkaloidad.local","10.10.13.3","Dell Inc.","OptiPlex 7020","10.0.19041.5438","Windows 10 Enterprise","05.3.2025 01:07:51","05.3.2021 02:37:19"
"pcbraz0009.alkaloidad.local","10.30.0.40","Dell Inc.","OptiPlex 7010","10.0.17763.1852","Windows 10 Enterprise","05.3.2025 05:24:19","05.3.2025 05:33:43"
